"","ensembl_transcript_short","UTR_ID","alternative_UTR","ensembl_transcript_id","gene_id","V1","V4","V5","V7","hgnc_symbol","ensembl_gene_id"
"1","ENST00000005386","utr_161387","","ENST00000005386.7","RPAP3-001","chr12",47705952,47706061,"-","RPAP3","ENSG00000005175"
"2","ENST00000005386","utr_161388","","ENST00000005386.7","RPAP3-001","chr12",47702841,47702846,"-","RPAP3","ENSG00000005175"
"3","ENST00000013070","utr_185938","","ENST00000013070.10","UBR7-001","chr14",93207056,93207291,"+","UBR7","ENSG00000012963"
"4","ENST00000014930","utr_158757","","ENST00000014930.8","HEBP1-001","chr12",13000115,13000273,"-","HEBP1","ENSG00000013583"
"5","ENST00000052569","utr_93208","","ENST00000052569.10","GOPC-001","chr6",117602289,117602528,"-","GOPC","ENSG00000047932"
"6","ENST00000053867","utr_223805","","ENST00000053867.7","GRN-001","chr17",44345086,44345334,"+","GRN","ENSG00000030582"
"7","ENST00000053867","utr_223806","","ENST00000053867.7","GRN-001","chr17",44349158,44349164,"+","GRN","ENSG00000030582"
"8","ENST00000157600","utr_42863","","ENST00000157600.7","LMCD1-001","chr3",8501707,8501938,"+","LMCD1","ENSG00000071282"
"9","ENST00000173527","utr_78124","","ENST00000173527.5","ISOC1-001","chr5",129094751,129094766,"+","ISOC1","ENSG00000066583"
"10","ENST00000175506","utr_103323","","ENST00000175506.8","ASNS-201","chr7",97872351,97872542,"-","ASNS","ENSG00000070669"
"11","ENST00000175506","utr_103324","","ENST00000175506.8","ASNS-201","chr7",97871719,97871996,"-","ASNS","ENSG00000070669"
"12","ENST00000175506","utr_103325","","ENST00000175506.8","ASNS-201","chr7",97869778,97869813,"-","ASNS","ENSG00000070669"
"13","ENST00000175506","utr_103326","","ENST00000175506.8","ASNS-201","chr7",97869157,97869179,"-","ASNS","ENSG00000070669"
"14","ENST00000176763","utr_82579","","ENST00000176763.9","STK10-001","chr5",172188043,172188386,"-","STK10","ENSG00000072786"
"15","ENST00000179259","utr_156524","","ENST00000179259.5","TIGAR-001","chr12",4321205,4321271,"+","TIGAR","ENSG00000078237"
"16","ENST00000193403","utr_183098","","ENST00000193403.10","ACTN1-001","chr14",68979057,68979440,"-","ACTN1","ENSG00000072110"
"17","ENST00000206020","utr_214750","","ENST00000206020.7","SPAG7-001","chr17",4967805,4967872,"-","SPAG7","ENSG00000091640"
