Protein Group,Protein ID,Accession,Significance,-10lgP,Si5B-Heavy-Hypoxia : Heavy_Area,Si5B-Heavy-Hypoxia : Light_Area,SiCTL-Heavy-Hypoxia : Heavy_Area,SiCTL-Heavy-Hypoxia : Light_Area,SiCTL-Heavy-Normoxia : Heavy_Area,SiCTL-Heavy-Normoxia : Light_Area,Ratio Si5B-Heavy-Hypoxia : Heavy,Ratio Si5B-Heavy-Hypoxia : Light,Ratio SiCTL-Heavy-Hypoxia : Heavy,Ratio SiCTL-Heavy-Hypoxia : Light,Ratio SiCTL-Heavy-Normoxia : Heavy,Ratio SiCTL-Heavy-Normoxia : Light,Group 1(Si5B-Heavy-Hypoxia : Heavy; Si5B-Heavy-Hypoxia : Light)_Area,Group 3(SiCTL-Heavy-Hypoxia : Heavy; SiCTL-Heavy-Hypoxia : Light)_Area,Group 5(SiCTL-Heavy-Normoxia : Heavy; SiCTL-Heavy-Normoxia : Light)_Area,Ratio Group 1(Si5B-Heavy-Hypoxia : Heavy; Si5B-Heavy-Hypoxia : Light),Ratio Group 3(SiCTL-Heavy-Hypoxia : Heavy; SiCTL-Heavy-Hypoxia : Light),Ratio Group 5(SiCTL-Heavy-Normoxia : Heavy; SiCTL-Heavy-Normoxia : Light),Max Ratio,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description,pSILAC H/N ratio,pSILAC Si5B/CTL Hyp ratio,Total H/N ratio,Total Si5B/CTL Hyp ratio,Accession,Gene Name,Species
1001,11519,sp|Q01970|PLCB3_HUMAN,5.88,127.58,6.48E+06,2.82E+07,2.99E+06,1.87E+07,2.28E+06,3.75E+06,1,4.36,0.46,2.88,0.35,0.58,1.73E+07,1.08E+07,3.02E+06,1,0.62,0.17,5.75,20,16,16,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,138799,1-phosphatidylinositol 4 5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens GN=PLCB3 PE=1 SV=2,1.31,2.17,3.59,1.60,Q01970,PLCB3,HUMAN
624,11261,sp|Q15029|U5S1_HUMAN,3.28,153.75,2.24E+07,6.02E+07,5.86E+06,2.53E+07,3.04E+07,5.28E+07,1,2.69,0.26,1.13,1.36,2.36,4.13E+07,1.56E+07,4.16E+07,1,0.38,1.01,2.67,25,24,22,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,109436,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1,0.19,3.82,0.37,2.65,Q15029,U5S1,HUMAN
298,11106,sp|P17980|PRS6A_HUMAN,0.23,190.57,1.32E+08,2.12E+08,3.92E+07,2.93E+08,9.57E+07,2.21E+08,1,1.61,0.3,2.22,0.73,1.68,1.72E+08,1.66E+08,1.58E+08,1,0.97,0.92,1.08,67,25,25,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,49204,26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3,0.41,3.36,1.05,1.03,P17980,PRS6A,HUMAN
1197,11609,sp|Q99460|PSMD1_HUMAN,7.83,115.67,4.57E+07,7.49E+07,1.82E+06,1.81E+07,3.75E+06,4.05E+07,1,1.64,0.04,0.4,0.08,0.89,6.03E+07,9.95E+06,2.21E+07,1,0.17,0.37,6.06,21,13,13,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,105836,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,0.49,25.09,0.45,6.06,Q99460,PSMD1,HUMAN
471,11447,sp|Q13200|PSMD2_HUMAN,2.02,179.63,3.82E+07,1.22E+08,1.55E+07,7.09E+07,3.71E+07,6.56E+07,1,3.18,0.41,1.86,0.97,1.72,7.98E+07,4.32E+07,5.14E+07,1,0.54,0.64,1.85,24,18,18,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,100200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3,0.42,2.46,0.84,1.85,Q13200,PSMD2,HUMAN
454,11566,sp|P55036|PSMD4_HUMAN,0.81,161.93,5.17E+07,1.07E+08,2.02E+07,1.19E+08,4.19E+07,7.70E+07,1,2.06,0.39,2.29,0.81,1.49,7.92E+07,6.93E+07,5.95E+07,1,0.88,0.75,1.33,36,14,14,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,40737,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens GN=PSMD4 PE=1 SV=1,0.48,2.57,1.17,1.14,P55036,PSMD4,HUMAN
1144,12087,sp|P51665|PSMD7_HUMAN,0.82,81.82,1.06E+07,4.21E+07,3.24E+06,3.18E+07,8.90E+06,2.79E+07,1,3.97,0.31,3,0.84,2.64,2.63E+07,1.75E+07,1.84E+07,1,0.66,0.7,1.5,29,7,7,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,37025,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens GN=PSMD7 PE=1 SV=2,0.36,3.27,0.95,1.50,P51665,PSMD7,HUMAN
1367,12062,sp|Q99714|HCD2_HUMAN,0.95,114.54,8.56E+05,9.57E+06,2.78E+05,1.49E+07,3.54E+06,9.43E+06,1,11.18,0.32,17.46,4.13,11.02,5.21E+06,7.61E+06,6.48E+06,1,1.46,1.24,1.46,38,9,9,Carbamidomethylation; 13C(6) 15N(4) Silac label,26923,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3,0.08,3.08,1.17,0.69,Q99714,HCD2,HUMAN
1615,12820,sp|P09110|THIK_HUMAN,6.09,96.39,1.96E+06,2.61E+06,5.05E+04,1.12E+05,8.77E+06,1.42E+07,1,1.33,0.03,0.06,4.47,7.22,2.29E+06,8.11E+04,1.15E+07,1,0.04,5.02,141.35,25,7,7,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,44292,3-ketoacyl-CoA thiolase  peroxisomal OS=Homo sapiens GN=ACAA1 PE=1 SV=2,0.01,38.85,0.01,28.18,P09110,THIK,HUMAN
1046,13192,sp|P62841|RS15_HUMAN,4.44,97.25,1.25E+07,3.33E+07,6.70E+05,1.07E+07,6.87E+06,2.48E+07,1,2.68,0.05,0.86,0.55,1.99,2.29E+07,5.70E+06,1.58E+07,1,0.25,0.69,4.02,35,6,6,Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,17040,40S ribosomal protein S15 OS=Homo sapiens GN=RPS15 PE=1 SV=2,0.10,18.59,0.36,4.02,P62841,RS15,HUMAN
418,11640,sp|P62249|RS16_HUMAN,0.09,145.86,2.84E+07,1.68E+08,1.35E+07,1.76E+08,4.21E+07,1.55E+08,1,5.91,0.48,6.22,1.49,5.45,9.80E+07,9.49E+07,9.84E+07,1,0.97,1,1.04,73,19,19,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,16445,40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2,0.32,2.10,0.96,1.03,P62249,RS16,HUMAN
327,11387,sp|P15880|RS2_HUMAN,1.03,200.39,6.75E+07,3.91E+08,3.12E+07,3.07E+08,1.00E+08,3.14E+08,1,5.8,0.46,4.55,1.49,4.65,2.29E+08,1.69E+08,2.07E+08,1,0.74,0.9,1.36,39,20,20,Carbamidomethylation; Oxidation (M); Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,31324,40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2,0.31,2.16,0.82,1.36,P15880,RS2,HUMAN
518,12065,sp|P62266|RS23_HUMAN,0.92,160.59,2.80E+07,3.74E+07,3.86E+06,4.25E+07,1.05E+07,5.40E+07,1,1.34,0.14,1.52,0.38,1.93,3.27E+07,2.32E+07,3.23E+07,1,0.71,0.99,1.41,59,14,14,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,15808,40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3,0.37,7.24,0.72,1.41,P62266,RS23,HUMAN
728,11966,sp|P62847|RS24_HUMAN,3.67,143.69,1.36E+07,7.16E+07,2.60E+06,2.71E+07,1.29E+07,4.51E+07,1,5.26,0.19,1.99,0.94,3.31,4.26E+07,1.48E+07,2.90E+07,1,0.35,0.68,2.87,66,14,14,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,15423,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,0.20,5.23,0.51,2.87,P62847,RS24,HUMAN
628,12187,sp|P62851|RS25_HUMAN,1.01,121.48,4.04E+07,1.57E+08,1.42E+07,1.59E+08,3.03E+07,1.04E+08,1,3.89,0.35,3.94,0.75,2.57,9.87E+07,8.66E+07,6.70E+07,1,0.88,0.68,1.47,60,12,12,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,13742,40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,0.47,2.85,1.29,1.14,P62851,RS25,HUMAN
1150,12781,sp|P42677|RS27_HUMAN,1.36,100.85,5.04E+05,4.14E+06,1.22E+05,6.30E+06,2.10E+05,1.73E+06,1,8.2,0.24,12.49,0.42,3.44,2.32E+06,3.21E+06,9.71E+05,1,1.38,0.42,3.31,20,7,2,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,9461,40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3,0.58,4.15,3.31,0.72,P42677,RS27,HUMAN
1129,12647,sp|Q71UM5|RS27L_HUMAN,1.01,107.02,2.95E+06,7.59E+06,8.08E+05,3.63E+06,1.56E+06,2.97E+06,1,2.58,0.27,1.23,0.53,1.01,5.27E+06,2.22E+06,2.26E+06,1,0.42,0.43,2.37,15,7,2,13C(6) 15N(2) Silac label,9477,40S ribosomal protein S27-like OS=Homo sapiens GN=RPS27L PE=1 SV=3,0.52,3.65,0.98,2.38,Q71UM5,RS27L,HUMAN
274,11196,sp|P23396|RS3_HUMAN,0.85,210.42,7.95E+07,1.95E+08,2.76E+07,3.07E+08,9.09E+07,2.94E+08,1,2.46,0.35,3.86,1.14,3.7,1.37E+08,1.67E+08,1.92E+08,1,1.22,1.4,1.4,86,30,30,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,26688,40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2,0.30,2.87,0.87,0.82,P23396,RS3,HUMAN
130,11110,sp|P61247|RS3A_HUMAN,1.45,231.91,6.93E+07,4.05E+08,3.04E+07,3.69E+08,1.35E+08,4.87E+08,1,5.85,0.44,5.32,1.95,7.02,2.37E+08,2.00E+08,3.11E+08,1,0.84,1.31,1.56,75,39,39,Carbamidomethylation; Oxidation (M); Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,29945,40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2,0.23,2.28,0.64,1.19,P61247,RS3A,HUMAN
784,11834,sp|P46781|RS9_HUMAN,0.68,110.77,1.29E+07,5.80E+07,5.59E+06,5.46E+07,1.24E+07,4.24E+07,1,4.48,0.43,4.22,0.96,3.28,3.55E+07,3.01E+07,2.74E+07,1,0.85,0.77,1.29,41,15,15,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,22591,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3,0.45,2.31,1.10,1.18,P46781,RS9,HUMAN
894,11630,sp|Q9H0D6|XRN2_HUMAN,0.72,122.4,3.62E+06,1.53E+07,1.58E+06,1.21E+07,5.64E+06,1.12E+07,1,4.22,0.44,3.35,1.56,3.1,9.44E+06,6.85E+06,8.43E+06,1,0.73,0.89,1.38,21,15,15,Carbamidomethylation; 13C(6) 15N(4) Silac label,108583,5'-3' exoribonuclease 2 OS=Homo sapiens GN=XRN2 PE=1 SV=1,0.28,2.29,0.81,1.38,Q9H0D6,XRN2,HUMAN
990,11470,sp|Q13131|AAPK1_HUMAN,2.23,150.17,6.27E+06,1.13E+07,8.04E+05,6.96E+06,1.92E+06,4.50E+06,1,1.8,0.13,1.11,0.31,0.72,8.77E+06,3.88E+06,3.21E+06,1,0.44,0.37,2.74,14,10,7,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,64009,5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Homo sapiens GN=PRKAA1 PE=1 SV=4,0.42,7.80,1.21,2.26,Q13131,AAPK1,HUMAN
400,11449,sp|P52209|6PGD_HUMAN,1.49,184.85,2.52E+07,2.06E+08,1.08E+07,1.38E+08,5.97E+07,1.66E+08,1,8.16,0.43,5.48,2.37,6.58,1.15E+08,7.44E+07,1.13E+08,1,0.64,0.98,1.55,27,12,12,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,53140,6-phosphogluconate dehydrogenase  decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3,0.18,2.34,0.66,1.55,P52209,6PGD,HUMAN
623,11676,sp|P05388|RLA0_HUMAN,1.84,174.49,2.01E+07,2.24E+08,5.67E+06,1.27E+08,3.31E+07,1.16E+08,1,11.13,0.28,6.31,1.64,5.78,1.22E+08,6.62E+07,7.47E+07,1,0.54,0.61,1.84,43,13,13,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,34274,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,0.17,3.55,0.89,1.84,P05388,RLA0,HUMAN
372,11677,sp|P62906|RL10A_HUMAN,1.29,180.76,5.44E+07,2.69E+08,2.55E+07,2.91E+08,4.61E+07,1.69E+08,1,4.95,0.47,5.35,0.85,3.1,1.62E+08,1.58E+08,1.07E+08,1,0.98,0.66,1.51,54,18,18,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,24831,60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2,0.55,2.14,1.47,1.02,P62906,RL10A,HUMAN
434,11623,sp|P40429|RL13A_HUMAN,1.88,133.46,2.34E+07,1.22E+08,5.28E+06,7.49E+07,2.11E+07,6.78E+07,1,5.21,0.23,3.2,0.9,2.9,7.28E+07,4.01E+07,4.44E+07,1,0.55,0.61,1.82,41,19,19,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,23577,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2,0.25,4.43,0.90,1.82,P40429,RL13A,HUMAN
